Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,New_Price
Maruti Wagon R LXI CNG,2010,72000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5,"$2,113.53 ",
Hyundai Creta 1.6 CRDi SX Option,2015,41000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,"$15,096.62 ",
Honda Jazz V,2011,46000,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5,"$5,434.78 ","$10,398.55 "
Maruti Ertiga VDI,2012,87000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,"$7,246.38 ",
Audi A4 New 2.0 TDI Multitronic,2013,40670,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,"$21,425.12 ",
Hyundai EON LPG Era Plus Option,2012,75000,LPG,Manual,First,21.1 km/kg,814 CC,55.2 bhp,5,"$2,838.16 ",
Nissan Micra Diesel XV,2013,86999,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,"$4,227.05 ",
Toyota Innova Crysta 2.8 GX AT 8S,2016,36000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8,"$21,135.27 ","$25,362.32 "
Volkswagen Vento Diesel Comfortline,2013,64430,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5,"$6,280.19 ",
Tata Indica Vista Quadrajet LS,2012,65932,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5,"$2,355.07 ",
Maruti Ciaz Zeta,2018,25692,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5,"$12,016.91 ","$12,862.32 "
Honda City 1.5 V AT Sunroof,2012,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.3 bhp,5,"$5,422.71 ",
Maruti Swift VDI BSIV,2015,64424,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,"$6,763.29 ",
Land Rover Range Rover 2.2L Pure,2014,72000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,"$32,608.70 ",
Land Rover Freelander 2 TD4 SE,2012,85000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5,"$21,135.27 ",
Mitsubishi Pajero Sport 4X4,2014,110000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7,"$18,115.94 ","$38,659.42 "
Honda Amaze S i-Dtech,2016,58950,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,"$6,521.74 ",
Maruti Swift DDiS VDI,2017,25000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,"$7,234.30 ",
Renault Duster 85PS Diesel RxL Plus,2014,77469,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5,"$7,657.00 ",
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,78500,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5,"$33,816.43 ",
BMW 3 Series 320d,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,"$22,403.38 ","$57,814.01 "
Maruti S Cross DDiS 200 Alpha,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5,"$9,963.77 ",
Audi A6 2011-2015 35 TFSI Technology,2015,55985,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5,"$28,381.64 ",
Hyundai i20 1.2 Magna,2010,45807,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,"$2,258.45 ",
Volkswagen Vento Petrol Highline AT,2010,33000,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5,"$3,442.03 ",
Honda City Corporate Edition,2012,51920,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5,"$5,132.85 ",
Nissan Micra Diesel XV,2012,54000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,"$5,132.85 ",
Maruti Alto K10 2010-2014 VXI,2013,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5,"$3,321.26 ",
Honda WRV i-VTEC VX,2018,37430,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5,"$11,956.52 ","$12,765.70 "
Toyota Innova 2.5 V Diesel 7-seater,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7,"$4,830.92 ",
Renault Duster 110PS Diesel RxZ Pack,2013,62000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5,"$9,359.90 ",
Toyota Corolla Altis G,2012,87615,Petrol,Manual,First,14.53 kmpl,1798 CC,138.1 bhp,5,"$8,152.17 ",
Mahindra Ssangyong Rexton RX7,2013,72000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7,"$15,096.62 ",
Audi A6 2.7 TDI,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,"$13,888.89 ",
Volkswagen Vento 1.6 Highline,2014,55431,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5,"$8,429.95 ","$14,891.30 "
Maruti Wagon R LXI BSIII,2009,83816,Petrol,Manual,Second,14.0 kmpl,1061 CC,64 bhp,5,"$2,234.30 ",
Maruti Vitara Brezza ZDi Plus,2018,50075,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,"$10,422.71 ","$13,429.95 "
Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,52000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5,"$5,857.49 ",
Mercedes-Benz M-Class ML 350 CDI,2013,85000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,5,"$33,816.43 ",
Volkswagen Polo Diesel Trendline 1.2L,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,"$6,038.65 ",
Maruti Alto LXi,2008,90000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,"$1,509.66 ",
Tata Nano LX SE,2014,19698,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,"$1,847.83 ",
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,22033,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6,"$6,739.13 ",
Hyundai i20 Magna Optional 1.2,2014,35487,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5,"$5,724.64 ",
Hyundai Elantra 2.0 SX Option AT,2014,46374,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5,"$10,688.41 ","$28,550.72 "
Toyota Corolla Altis G AT,2016,52001,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5,"$12,210.14 ",
Hyundai Elantra CRDi,2008,58005,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,5,"$5,132.85 ",
Toyota Innova Crysta 2.7 GX MT,2012,70704,Petrol,Manual,First,11.25 kmpl,2694 CC,163.7 bhp,7,"$13,224.64 ","$22,512.08 "
Hyundai Xcent 1.1 CRDi S,2014,75000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,"$4,649.76 ",
Mahindra Thar CRDe AC,2012,75800,Diesel,Manual,Second,16.55 kmpl,2498 CC,105 bhp,6,"$6,642.51 ",
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,13648,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,"$25,881.64 ",
